S.No.,Score,Country,Innings,India/Out of India,Win/Loss/Draw,Year,Out/Not Out,Format,MOM,Venue
1,119,ENG,4,Away,Drawn,1990,Not Out,TEST,YES,"Old Trafford, Manchester"
2,148,AUS,2,Away,Drawn,1992,Not Out,TEST,NO,"Sydney Cricket Ground, Sydney"
3,114,AUS,2,Away,Lost,1992,Out,TEST,NO,"WACA Ground, Perth"
4,111,SA,2,Away,Drawn,1992,Out,TEST,NO,"Wanderers Stadium, Johannesburg"
5,165,ENG,1,Home,Won,1993,Out,TEST,YES,"M. A. Chidambaram Stadium, Chennai"
6,104,SL,3,Away,Won,1993,Not Out,TEST,NO,"Sinhalese Sports Club Ground, Colombo"
7,142,SL,1,Home,Won,1994,Out,TEST,NO,"K. D. Singh Babu Stadium, Lucknow"
8,179,WI,1,Home,Drawn,1994,Out,TEST,NO,"Vidarbha Cricket Association Ground, Nagpur"
9,122,ENG,3,Away,Lost,1996,Out,TEST,NO,"Edgbaston, Birmingham"
10,177,ENG,1,Away,Drawn,1996,Out,TEST,NO,"Trent Bridge, Nottingham"
11,169,SA,2,Away,Lost,1997,Out,TEST,NO,"Newlands Cricket Ground, Cape Town"
12,143,SL,1,Away,Drawn,1997,Out,TEST,NO,"R. Premadasa Stadium, Colombo"
13,139,SL,2,Away,Drawn,1997,Out,TEST,NO,"Sinhalese Sports Club Ground, Colombo"
14,148,SL,1,Home,Drawn,1997,Out,TEST,NO,"Wankhede Stadium, Mumbai"
15,155,AUS,3,Home,Won,1998,Not Out,TEST,YES,"M. A. Chidambaram Stadium, Chennai"
16,177,AUS,1,Home,Lost,1998,Out,TEST,NO,"M. Chinnaswamy Stadium, Bangalore"
17,113,NZ,3,Away,Lost,1998,Out,TEST,NO,"Basin Reserve, Wellington"
18,136,PAK,4,Home,Lost,1999,Out,TEST,YES,"M. A. Chidambaram Stadium, Chennai"
19,124,SL,3,Away,Drawn,1999,Not Out,TEST,NO,"Sinhalese Sports Club Ground, Colombo"
20,126,NZ,3,Home,Drawn,1999,Not Out,TEST,NO,"Punjab Cricket Association Stadium, Mohali"
21,217,NZ,1,Home,Drawn,1999,Out,TEST,YES,"Sardar Patel Stadium, Motera, Ahmedabad"
22,116,AUS,2,Away,Lost,1999,Out,TEST,YES,"Melbourne Cricket Ground, Melbourne"
23,122,ZIM,2,Home,Won,2000,Out,TEST,NO,"Feroz Shah Kotla Ground, New Delhi"
24,201,ZIM,1,Home,Drawn,2000,Not Out,TEST,NO,"Vidarbha Cricket Association Ground, Nagpur"
25,126,AUS,2,Home,Won,2001,Out,TEST,NO,"M. A. Chidambaram Stadium, Chennai"
26,155,SA,1,Away,Lost,2001,Out,TEST,NO,"Goodyear Park, Bloemfontein"
27,103,ENG,2,Home,Drawn,2001,Out,TEST,NO,"Sardar Patel Stadium, Ahmedabad"
28,176,ZIM,2,Home,Won,2002,Out,TEST,NO,"Vidarbha Cricket Association Ground, Nagpur"
29,117,WI,1,Away,Won,2002,Out,TEST,NO,"Queen's Park Oval, Port of Spain"
30,193,ENG,1,Away,Won,2002,Out,TEST,NO,"Headingley, Leeds"
31,176,WI,3,Home,Drawn,2002,Out,TEST,YES,"Eden Gardens, Kolkata"
32,241,AUS,1,Away,Drawn,2004,Not Out,TEST,YES,"Sydney Cricket Ground, Sydney"
33,194,PAK,1,Away,Won,2004,Not Out,TEST,NO,"Multan Cricket Stadium, Multan"
34,248,BAN,2,Away,Won,2004,Not Out,TEST,NO,"Bangabandhu National Stadium, Dhaka"
35,109,SL,1,Home,Won,2005,Out,TEST,NO,"Feroz Shah Kotla Ground, New Delhi"
36,101,BAN,1,Away,Drawn,2007,Out,TEST,NO,"Bir Shrestha Shahid Ruhul Amin Stadium, Chittagong"
37,122,BAN,1,Away,Won,2007,Not Out,TEST,NO,"Sher-e-Bangla National Stadium, Mirpur"
38,154,AUS,2,Away,Lost,2008,Not Out,TEST,NO,"Sydney Cricket Ground, Sydney"
39,153,AUS,1,Away,Drawn,2008,Out,TEST,YES,"Adelaide Oval, Adelaide"
40,109,AUS,1,Home,Won,2008,Out,TEST,NO,"Vidarbha Cricket Association Stadium, Nagpur"
41,103,ENG,4,Home,Won,2008,Not Out,TEST,NO,"M. A. Chidambaram Stadium, Chennai"
42,160,NZ,2,Away,Won,2009,Out,TEST,YES,"Seddon Park, Hamilton"
43,100,SL,3,Home,Drawn,2009,Not Out,TEST,NO,"Sardar Patel Stadium, Ahmedabad"
44,105,BAN,1,Away,Won,2010,Not Out,TEST,YES,"Zohur Ahmed Chowdhury Stadium, Chittagong"
45,143,BAN,2,Away,Won,2010,Out,TEST,NO,"Sher-e-Bangla National Stadium, Mirpur"
46,100,SA,3,Home,Lost,2010,Out,TEST,NO,"Vidarbha Cricket Association Stadium, Nagpur"
47,106,SA,2,Home,Won,2010,Out,TEST,NO,"Eden Gardens, Kolkata"
48,203,SL,2,Away,Drawn,2010,Out,TEST,NO,"Sinhalese Sports Club Ground, Colombo"
49,214,AUS,2,Home,Won,2010,Out,TEST,YES,"M. Chinnaswamy Stadium, Bangalore"
50,111,SA,3,Away,Lost,2010,Not Out,TEST,NO,"SuperSport Park, Centurion"
51,146,SA,2,Away,Drawn,2011,Out,TEST,NO,"Newlands Cricket Ground, Cape Town"
52,110,AUS,1,Neutral,Won,1994,Out,ODI,YES,"R. Premadasa Stadium, Colombo"
53,115,NZ,2,Home,Won,1994,Out,ODI,YES,"IPCL Sports Complex Ground, Vadodara"
54,105,WI,1,Home,Won,1994,Out,ODI,NO,"Sawai Mansingh Stadium, Jaipur"
55,112,SL,2,Neutral,Won,1995,Not Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
56,127,KEN,2,Home,Won,1996,Not Out,ODI,YES,"Barabati Stadium, Cuttack"
57,137,SL,1,Home,Lost,1996,Out,ODI,NO,"Feroz Shah Kotla, New Delhi"
58,100,PAK,1,Neutral,Lost,1996,Out,ODI,NO,"Padang, Singapore"
59,118,PAK,1,Neutral,Won,1996,Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
60,110,SL,1,Away,Lost,1996,Out,ODI,NO,"R. Premadasa Stadium, Colombo"
61,114,SA,1,Home,Won,1996,Out,ODI,YES,"Wankhede Stadium, Mumbai"
62,104,ZIM,1,Neutral,Won,1997,Out,ODI,YES,"Willowmoore Park, Benoni"
63,117,NZ,2,Home,Won,1997,Out,ODI,YES,"M. Chinnaswamy Stadium, Bangalore"
64,100,AUS,2,Home,Won,1998,Out,ODI,YES,"Green Park Stadium, Kanpur"
65,143,AUS,2,Neutral,Lost,1998,Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
66,134,AUS,2,Neutral,Won,1998,Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
67,100,KEN,2,Home,Won,1998,Not Out,ODI,YES,"Eden Gardens, Kolkata"
68,128,SL,1,Away,Won,1998,Out,ODI,YES,"R. Premadasa Stadium, Colombo"
69,127,ZIM,2,Away,Won,1998,Not Out,ODI,YES,"Queens Sports Club, Bulawayo"
70,141,AUS,1,Neutral,Won,1998,Out,ODI,YES,"Bangabandhu Stadium, Dhaka"
71,118,ZIM,2,Neutral,Won,1998,Not Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
72,124,ZIM,2,Neutral,Won,1998,Not Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
73,140,KEN,1,Neutral,Won,1999,Not Out,ODI,YES,"County Ground, Bristol"
74,120,SL,1,Away,Won,1999,Out,ODI,NO,"Sinhalese Sports Club Ground, Colombo"
75,186,NZ,1,Home,Won,1999,Not Out,ODI,YES,"Lal Bahadur Shastri Stadium, Hyderabad"
76,122,SA,2,Home,Won,2000,Out,ODI,YES,"IPCL Sports Complex Ground, Vadodara"
77,101,SL,1,Neutral,Lost,2000,Out,ODI,YES,"Sharjah Cricket Association Stadium, Sharjah"
78,146,ZIM,1,Home,Lost,2000,Out,ODI,NO,"Barkatullah Khan Stadium, Jodhpur"
79,139,AUS,1,Home,Won,2001,Out,ODI,YES,"Nehru Stadium, Indore"
80,122,WI,2,Neutral,Won,2001,Not Out,ODI,YES,"Harare Sports Club, Harare"
81,101,SA,1,Away,Lost,2001,Out,ODI,NO,"New Wanderers Stadium, Johannesburg"
82,146,KEN,1,Neutral,Won,2001,Out,ODI,YES,"Boland Park, Paarl"
83,105,ENG,1,Away,No result,2002,Not Out,ODI,NO,"Riverside Ground, Chester-le-Street"
84,113,SL,1,Neutral,Won,2002,Out,ODI,YES,"County Ground, Bristol"
85,152,NAM,1,Neutral,Won,2003,Out,ODI,YES,"City Oval, Pietermaritzburg"
86,100,AUS,1,Home,Won,2003,Out,ODI,YES,"Roop Singh Stadium, Gwalior"
87,102,NZ,1,Home,Won,2003,Out,ODI,NO,"Lal Bahadur Shastri Stadium, Hyderabad"
88,141,PAK,2,Away,Lost,2004,Out,ODI,YES,"Rawalpindi Cricket Stadium, Rawalpindi"
89,123,PAK,1,Home,Lost,2005,Out,ODI,NO,"Sardar Patel Stadium, Motera, Ahmedabad"
90,100,PAK,1,Away,Lost,2006,Out,ODI,NO,"Arbab Niaz Stadium, Peshawar"
91,141,WI,1,Neutral,Lost,2006,Not Out,ODI,NO,"Kinrara Academy Oval, Kuala Lumpur"
92,100,WI,1,Home,Won,2007,Not Out,ODI,NO,"IPCL Sports Complex Ground, Vadodara"
93,117,AUS,2,Away,Won,2008,Not Out,ODI,YES,"Sydney Cricket Ground, Sydney"
94,163,NZ,1,Away,Won,2009,Not Out,ODI,YES,"AMI Stadium, Christchurch"
95,138,SL,1,Away,Won,2009,Out,ODI,YES,"R. Premadasa Stadium, Colombo"
96,175,AUS,2,Home,Lost,2009,Out,ODI,YES,"Rajiv Gandhi International Stadium, Hyderabad"
97,200,SA,1,Home,Won,2010,Not Out,ODI,YES,"Roop Singh Stadium, Gwalior"
98,120,ENG,1,Home,Tied,2011,Out,ODI,NO,"M. Chinnaswamy Stadium, Bangalore"
99,111,SA,1,Home,Lost,2011,Out,ODI,NO,"VCA Stadium, Nagpur"
100,114,BAN,1,Away,Lost,2012,Out,ODI,NO,"Sher-e-Bangla National Stadium, Mirpur"
